page_content,book,page,notes
"This course was conceived and authored by David Hoelzer. David is the COO of Enclave Forensics, Inc., a managed security monitoring company. He also serves as Dean of Faculty for the SANS Technology Institute and a Faculty Fellow for The SANS Institute. David has been working in the IT and Information Security fields since the late 1980s. In addition to daily work in network monitoring, analysis, and secure development, he leads the machine learning initiatives within Enclave. His particular area of focus is supervised learning solutions for real-time monitoring and classification of enterprise network activities. 3",Book 1_2036060.pdf,4,"Here are the notes in advanced bullet-point markdown format:

**Author and Instructor**
* **David Hoelzer**: Conceived and authored the course
* **Background**:
	+ COO of Enclave Forensics, Inc. (managed security monitoring company)
	+ Dean of Faculty for the SANS Technology Institute
	+ Faculty Fellow for The SANS Institute
* **Experience**:
	+ Working in IT and Information Security fields since the late 1980s
	+ Daily work in:
		- Network monitoring
		- Analysis
		- Secure development
* **Machine Learning Focus**:
	+ **Supervised learning** solutions for:
		- Real-time monitoring of enterprise network activities
		- Classification of enterprise network activities"
"Introduction This course is broken down into six major sections, each of which corresponds to the coursebook for that day. When undertaking this course, please have in mind that we view the first two sections of material as important foundation material that students should already have some basic familiarity with. Since we recognize that different students will have different levels of competence with topics such as Python, SQL, document stores, statistics, and mathematical signals analysis, the first two books serve as a crash-course / refresher for these topics. While you will almost certainly have some level of mastery of one or more of these topics (or at least mastery that exceeds the requirements of this course), it is equally likely that one or more of these topics will not be familiar. Whatever your level of experience, we invite you to dive in and enjoy the material. It is important that you come into the class prepared to work through nearly half of the material on your own in hands-on exercises. You must also be prepared to go beyond what the labs require, experimenting with the concepts and techniques to work toward mastery and application toward your own business problems. 4",Book 1_2036060.pdf,5,"Here are the notes in advanced bullet-point format:
**Course Overview**
======================

* The course is divided into six major sections, each corresponding to a coursebook.
* The first two sections are considered foundation material, and students are expected to have some basic familiarity with the topics.

**Foundational Topics**
=====================

* **Python**
* **SQL**
* **Document stores**
* **Statistics**
* **Mathematical signals analysis**

**Course Approach**
===================

* The first two sections serve as a refresher or crash-course for the foundational topics.
* Students are expected to have varying levels of competence in these topics.
* The course is designed to accommodate different levels of experience.

**Student Expectations**
=====================

* Students are expected to work through nearly half of the material on their own through hands-on exercises.
* Students are encouraged to go beyond the lab requirements and experiment with concepts to achieve mastery and application to their own business problems."
"Even though this class is a week in length, there are limitations to what we can and cannot accom- plish. To set your expectations appropriately, let’s explain what we willdo and what we will not do this week. There is just no way we can realistically take someone from ero to a data scientist in just one week. To do so, we would have to require significant prerequisites in mathematics, statistics, and computer science. More specifically, the computer science knowledge required would be more than the general theory taught in an undergraduate program. Instead, we would have to require that you had already mastered Python, had done significant work as a DBA using SQL based databases, you had experience modern NoSQL style document stores, and that you were also competent at scraping websites… and those are just the computer science-based requirements! While significantly more mathematics would be useful as a foundation for a data scientist, there’s just no way that we can cover everything from statistics, algebra, probability theory, calculus (up to and including differential equations), and linear algebra. Just looking at that list, it’s clear that there are multiple full semesters, if not years, of college courses required. Since we know we cannot require all of the foregoing, and we humbly admit that there’s no way we can possibly teach all of that in just a few days, we have instead set our sights somewhat lower. While we will not rigorously cover statistics or mathematics, we have carefully selected key topics from these fields that you really must be familiar with. Similarly, we have selected a subset of the most useful and regularly used computer science disciplines that would be useful for a data scientist. When we turn our attention to building real machine learning networks, we again cannot possibly cover all of the incarnations of such things. Knowing this, then, we will strive to provide not rigor but important intuitions. This isn’t to say that there is no rigor at all. We strongly believe that understanding why something works is incredibly 5",Book 1_2036060.pdf,6,"Here are the notes in advanced markdown format:

**Course Expectations**
=======================

### Limitations of the Course

* The course is only one week long, and it is not possible to cover everything required to become a data scientist in such a short time.
* Significant prerequisites in mathematics, statistics, and computer science would be required to achieve this goal.

### Unachievable Requirements

* **Computer Science Requirements**:
	+ Mastery of Python
	+ Experience as a DBA using SQL-based databases
	+ Experience with modern NoSQL-style document stores
	+ Competence in web scraping
* **Mathematics Requirements**:
	+ Statistics
	+ Algebra
	+ Probability theory
	+ Calculus (up to and including differential equations)
	+ Linear algebra

### Course Objectives

* Instead of covering everything, the course will focus on key topics from statistics and mathematics that are essential for a data scientist.
* The course will also cover a subset of useful computer science disciplines for a data scientist.
* When building machine learning networks, the course will focus on providing important intuitions rather than covering all possible incarnations.

### Course Philosophy

* Understanding why something works is crucial.
* While there will not be a rigorous coverage of all topics, there will be a focus on providing a solid foundation."
"important when it comes to developing intuitions. We will, therefore, dive into some of these topics to some significant depth. However, our goal in doing so is always (and only) to allow you to understand it just well enough to be able to intuitively apply these tools and techniques to your own real-world problems. In fact, we can say that that is a major goal of the class. That is, to work to build a box of tools that you feel comfortable reaching into to acquire, explore, analyze, and extrapolate meaning from data. 6",Book 1_2036060.pdf,7,"**Course Objectives**
=====================

* The course aims to develop intuitions about various topics in the field
* The goal is to understand topics well enough to apply tools and techniques to real-world problems
* The ultimate objective is to build a **toolbox** of skills to:
	+ Acquire data
	+ Explore data
	+ Analyze data
	+ Extrapolate meaning from data"
"It’s reasonable to wonder how this class differs from courses or tutorials that you can find in other places. YouTube, for example, is chock full of machine learning demonstrations and tutorials. Sim- ilarly, with the evolution of online course delivery, there are excellent paid and free options for rigorous machine learning and artificial intelligence courses. What value does this course hold in the context of these other offerings? In our opinion, the courses, tutorials, and demonstrations that are publicly available tend to exist at the extremes of this space. These courses will either be extremely rigorous or extremely high-level. Let us explain. The rigorous classes can be quite excellent. However, they approach this problem from an academic point of view rather than a real-world application point of view. As a result, these courses rarely, if ever, concern themselves with how to apply machine learning to problems. Instead, they are focused on the mathematics required to implement a neural network, for example. Based on these founda- tions, these courses will typically assist you in building your own implementation of a machine learning library. Notice that this is a library that you could use to solve real-world problems, but since these courses almost never talk about how to acquire, preprocess, and transform your data or how to go about determining a useful network design for learning, students successfully completing these courses are often stumped as to how to proceed. At the other extreme are the tutorial or demonstration style courses or series. These can be found in places such as YouTube, Udemy, and Coursera. If you have ever watched anything about machine learning, it is likely one of these. While the demonstration will usually cover some specific machine learning problem, such as identifying handwritten digits, and the solution demonstrated works well, these tutorials never tell you how to preprocess your own data, how to obtain your own data, how to represent your data in a useful way, why the network is built as it is, what the activation functions do (or how you select them), etc. 7",Book 1_2036060.pdf,8,"Here are the notes in advanced bullet-point format:

**What Sets This Course Apart**
======================================================

* This course differs from other machine learning courses and tutorials in its approach to teaching machine learning and artificial intelligence.

**Comparison to Other Courses and Tutorials**
------------------------------------------

* Other courses and tutorials can be divided into two extremes:
	+ **Rigorous classes**: Focus on the academic and mathematical aspects of machine learning, but rarely cover how to apply machine learning to real-world problems.
		- Typically focus on building a machine learning library from scratch.
		- Lack practical guidance on acquiring, preprocessing, and transforming data, as well as determining a useful network design for learning.
	+ **Tutorial or demonstration style courses**: Focus on specific machine learning problems, but lack depth and practical guidance.
		- Typically cover only one specific problem, such as identifying handwritten digits.
		- Do not cover essential aspects, such as:
			+ **Data preprocessing**: How to preprocess and transform data.
			+ **Data acquisition**: How to obtain and represent data in a useful way.
			+ **Network design**: Why the network is built a certain way and how to select activation functions.

This course aims to provide a more comprehensive and practical approach to machine learning and artificial intelligence."
"This course is quite different. We have made an effort to position this course squarely in the center of these extremes while simultaneously attempting to provide you the tools that you need to go out and get your own data and turn that data into something that a machine learning model can process. In order to meet the lofty goals of assisting you to develop familiarity with a set of tools in your machine learning toolbox, being able to apply these tools on your own, the ability to extract and transform data in a way that machine learning can be applied, and the ability to create your own useful machine learning models, we have settled on an experiential approach. What does this mean in terms of course design? With the exception of this introduction section and the following terms and technologies introduc- tion, each “lecture” portion of the class will be covered within 30 to 60 minutes. These lectures might be lectures, some are discussions, and many include demonstrations. Following each of these sections, you will have guided hands-on activities, each of which will take another 30 to 60 minutes. The exercises are almost entirely performed using Jupyter Lab through Anaconda Navigator, which we will get you to install on your system when we get to our first exercise. We have provided you a ip file containing all of the data and notebooks used in this course. The notebooks come in pairs. The first is the guided lab notebook that you should work through, striving to complete each of the required activities. The second is an identical notebook with solutions in it. We urge you to use the first notebook and refer to the second only when you are stuck! We have also provided a single virtual machine. Some of our exercises this week make use of this VM. This is especially true for labs that require you to acquire data from some type of database or possibly from some other common information source that you might find in your own environment. We will work on getting this VM up and running during our first lab. One of the most important things to keep in mind as you work through this class is that you should work to master topics as they come. Do not be satisfied if there’s something covered in the first lab that you don’t quite understand. If we cover it in the first lab, you can be almost certain that we will rely on your mastery of that knowledge in many, if not all, of the labs that follow! Therefore, if you are stuck on something or if something isn’t clear, please ask for help! If you are taking this course at a live venue (or live online), ask your instructor or a TA to come over and help you out. Put your hand up and ask questions! If you are taking this class OnDemand, you can always reach out to the SANS lab support team through the portal. 8",Book 1_2036060.pdf,9,"Here are the notes on the provided passage in advanced bullet-point markdown format:
### Course Overview
* This course aims to provide **familiarity with machine learning tools**, **ability to extract and transform data**, and **create useful machine learning models**.
### Course Design
* Lectures will be 30-60 minutes, followed by **guided hands-on activities** (also 30-60 minutes).
* Activities will use **Jupyter Lab through Anaconda Navigator**, which will be installed on students' systems.
### Course Materials
* **IP file** containing all course data and notebooks.
* Notebooks come in pairs:
	+ **Guided lab notebook**: for students to work through.
	+ **Solution notebook**: for reference when stuck.
* **Virtual machine (VM)**: for exercises requiring data acquisition from databases or other sources.

### Important Reminders
* **Master topics as they come**: don't move forward if a concept isn't understood, as it may be important for future labs.
* **Ask for help**:
	+ In live sessions: ask instructor or TA for assistance.
	+ Online: reach out to SANS lab support team through the portal."
"Technologies & Terms With our introduction out of the way, it’s time for us to get started with the first introductory topic in our course. At this point in the course, we are not going to attempt to cover all of the technologies and terms deeply. Nearly everything mentioned here is covered in much greater depth later in the course. Why are we taking the time to talk about this now, then? First, to provide you with an overall view of where we are going in this course. Second, to provide a common framework of terms that we will rely on for the rest of the class. There are certainly more terms that we will learn as we go. This base set of terms connected with some fundamental skills with the technologies we will use to learn about machine learning should make the first two days a bit easier to digest. 9",Book 1_2036060.pdf,10,"### Course Overview
#### Purpose of This Section

* Provide an overall view of the course
* Establish a common framework of terms for the rest of the class
* Introduce fundamental skills and technologies for machine learning

#### Key Takeaways

* This section will not delve deeply into technologies and terms
* These topics will be covered in greater depth later in the course
* The goal is to provide a foundational understanding of key concepts and technologies for machine learning"
"Tools Overview Jupyter Notebook has become one of the most commonly used tools for interactive Python develop- ment that allows for easy experimentation, simple inline documentation, inline visualization, and code organization. While the tool is perhaps best known for its use with Python for machine learning and data science tasks, it supports many more languages. The supported languages include R, SQL, Mongo (as far as it can be viewed as a language), C, Ruby, and many more. The support for these is through modules termed kernels . Since Jupyter supports all of the languages and technologies that we make use of in this course, it provides a natural and obvious choice for our labs. Another huge bonus is the ability to create inline documentation via Markdown. This allows us to build what amounts to an interactive workbook. The particular version of Jupyter that we will be using is Jupyter Lab, which is the most recent in- carnation. We will walk through installing the Anaconda Dashboard during our first lab. Anaconda will make working with Jupyter very simple. This choice is also motivated by the desire to create an experience that you can replicate in your office and which mirrors what many data scientists use every day. We will be using Anaconda as an easy way to get Jupyter, Python, and some other required libraries installed on your system, which will allow you to translate this directly to your work environment. For example, while we do not use Anaconda within our office as the basis for our research server, we do use Jupyter Lab. Jupyter Lab allows us to have a shared workspace with shared notebooks while also allowing us to have some basic security. Why not just use Jupyter on individual workstations? There are a few main reasons. The first reason is a concern about continuity. We do not back up workstations, period. By providing 10",Book 1_2036060.pdf,11,"Here are the notes on Jupyter Notebook in advanced bullet-point markdown format:

**Jupyter Notebook Overview**
===========================

### Key Features and Benefits

* **Interactive Python development**: allows for easy experimentation and code organization
* **Multi-language support**: supports languages like R, SQL, Mongo, C, Ruby, and more through **kernels**
* **Inline documentation**: supports Markdown for creating interactive workbooks
* **Visualization**: supports inline visualization

### Jupyter Lab
===============

* **Latest incarnation of Jupyter**: provides a natural and obvious choice for labs
* **Install via Anaconda Dashboard**: makes working with Jupyter simple
* **Replicates industry experience**: mirrors what many data scientists use every day
* **Eases transition to work environment**: allows for easy translation to work environment

### Anaconda
=============

* **Installs Jupyter, Python, and required libraries**: makes it easy to get started
* **Used in industry**: used by many data scientists, including in research servers
* **Provides shared workspace and security**: allows for shared notebooks and basic security

### Benefits of Jupyter Lab over Individual Workstations
=====================================================

* **Continuity**: ensures continuous work without worrying about workstation backup
* **Other reasons**: to be discussed in the lab"
"a centralized Jupyter Lab server, we can create a server with plenty of redundant storage that is backed up frequently. The second reason is far more compelling. Rather than investing thousands of dollars per worksta- tion for additional RAM, high-end GPUs, storage, etc., we can put all of that money into a single system that has 512 gigs of RAM, 16 terabytes of storage, and as many GPUs as the PCI-e channels can handle. While this single system is pricey, we end up utilizing the hardware far more exten- sively than we would 15 high-end workstations, most of which would sit idle unless the user was actively working on a data science task. Note that we do not use Anaconda on that server. It’s not Anaconda that makes this all work. We have simply installed all of the necessary tools and supporting libraries, including Jupyter. Ana- conda just makes that installation easy, especially since we’re trying to support whatever kind of computer a student happens to show up to class with! 11",Book 1_2036060.pdf,12,"**Centralized Jupyter Lab Server**
=============================

**Advantages**
-------------

* **Cost-effective**: Instead of investing thousands of dollars per workstation for additional RAM, high-end GPUs, storage, etc.
* **Hardware utilization**: Single system with 512GB RAM, 16TB storage, and multiple GPUs, leading to more extensive hardware utilization compared to 15 high-end workstations that often sit idle.

**Server Configuration**
---------------------

* **Installed tools and libraries**: Necessary tools and supporting libraries, including Jupyter, installed on the server.
* **No Anaconda**: Anaconda not used on the server; instead, individual tools and libraries are installed for ease of use.

**Benefits**
------------

* **Easy support**: Easy to support students with various computers, thanks to the flexibility of the centralized server."
"The primary language that we will use for our activities in this class is Python. There are other languages frequently used in data science. R is one of the most popular, Julia is another common option, and Go (or Golang) has some data science adherents as well. Why have we chosen Python over the other options? This is a fair question, especially since R and Julia are domain-specific languages designed for data analytics and statistics. The answer to that question, however, actually lies in that last sentence. R and Julia are domain-specific languages. A domain-specific language is a language created for one very specific task or set of tasks. This tends to mean that the language is highly optimized for those tasks and should allow you to solve problems in that domain space intuitively using the language. The downside of this is that these languages are difficult to use to do anything else. If you already use one of these languages, don’t take this the wrong way. We’re not implying that there’s anything wrong with these languages, nor are we challenging you to solve general-purpose computing problems with them. By comparison, however, for people who work in the information security or information technology spaces, Python makes much more sense. Another big downside to R and Julia is that they do not lend themselves to building finished solutions. For example, if we spent a few weeks exploring, transforming, and experimenting with our data in R and then wanted to integrate that into some production system, we would need to reproduce all of that work in some other language to easily connect it to our web service, for example. Python, on the other hand, has had rapidly growing support for statistics and analysis libraries. While the support is not yet as robust as it is for a language like R, we have the added advantage of Python being familiar. There’s a reasonable chance that you have used Python and will continue to use Python for many other tasks in your environment. Finally, Python is easily integrated into almost any process that you have since it isa general-purpose language. 12",Book 1_2036060.pdf,13,"Here are the notes on the provided passage:

**Why Python for Data Science?**
=================================

**Other Options in Data Science**
--------------------------------

* R: a popular domain-specific language for data analytics and statistics
* Julia: a common option for data science tasks
* Go (or Golang): has some adherents in data science

**Domain-Specific Languages**
-----------------------------

* Created for a very specific task or set of tasks
* Highly optimized for those tasks
* Difficult to use for other tasks outside of their domain space

**Python Advantages**
----------------------

* **General-purpose language**: easily integrated into various tasks and processes
* Familiarity: likely already used and will continue to use Python in other tasks
* Growing support for **statistics and analysis libraries**
* Can be used to build **finished solutions** and integrate with other systems (e.g., web services)

**Comparison to R and Julia**
-----------------------------

* R and Julia are domain-specific languages, making them less versatile than Python
* Difficult to use R and Julia for tasks outside of their domain space
* Reproducing work in R or Julia to integrate with other systems can be challenging"
